origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Driffield	United Kingdom	54.005	-0.438		Saint-Affrique	43.958333333333	2.8863888888889	8251	France	1143	EU
Woodhall Spa	United Kingdom	53.1515	-0.2183		Roézé-sur-Sarthe	47.895833333333	0.066944444444444	2707	France	585	EU
Tamworth	United Kingdom	52.633	-1.695		Vaujours	48.933888888889	2.5719444444444	6828	France	509	EU
Banbridge	United Kingdom	54.343	-6.26		Ruelle-sur-Touvre	45.677777777778	0.22027777777778	7357	France	1068	EU
Warminster	United Kingdom	51.209	-2.18		Flers	48.748333333333	-0.56944444444444	14761	France	297	EU
Horndean	United Kingdom	50.913630555556	-0.99611944444444		Aubergenville	48.958333333333	1.855	11576	France	298	EU
Haywards Heath	United Kingdom	51.0048	-0.0979		Bondues	50.701666666667	3.0933333333333	9904	France	227	EU
Eye, Suffolk	United Kingdom	52.321	1.147		Pouzauges	46.782222222222	-0.83722222222222	5536	France	632	EU
Abertillery	United Kingdom	51.73	-3.13		Royat	45.765	3.05	4688	France	803	EU
Verwood	United Kingdom	50.8817	-1.88		Champtoceaux	47.336944444444	-1.2666666666667	2413	France	397	EU
Peacehaven	United Kingdom	50.8	0		Épinay-sous-Sénart	48.693055555556	2.5158333333333	12565	France	296	EU
Worcester	United Kingdom	52.191111111111	-2.2222222222222	100842	Le Vésinet	48.893888888889	2.1322222222222	15847	France	478	EU
Tadcaster	United Kingdom	53.8852	-1.262		Saint-Chély-d'Apcher	44.803055555556	3.2758333333333	4162	France	1061	EU
